Imperial College London,Mathematics for Machine Learning Specialization
IBM,Applied Data Science Specialization
IBM,IBM Data Science Specialization
IBM,Introduction to Data Science Specialization
UC Davis,"Data Wrangling, Analysis and AB Testing with SQL"
UC Davis,Distributed Computing with Spark SQL
UC Davis,SQL for Data Science
IBM,What is Data Science?
IBM,Data Science Methodology
IBM,Python for Data Science and AI
IBM,Tools for Data Science
IBM,Applied Data Science Capstone
IBM,Machine Learning with Python
IBM,Data Visualization with Python
IBM,Data Analysis with Python
IBM,Databases and SQL for Data Science
Imperial College London,Mathematics for Machine Learning: PCA
Imperial College London,Mathematics for Machine Learning: Multivariate Calculus
Imperial College London,Mathematics for Machine Learning: Linear Algebra
UC Davis,Fundamentals of Visualization with Tableau
AWS,Getting Started with AWS Machine Learning
Stanford university,Machine Learning
University of Michigan,Introduction to Data Science in Python
DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization"
DeepLearning.AI,Neural Networks and Deep Learning
HarvardX,Data Science: Visualization
HarvardX,Data Science: R Basics
HarvardX,Data Science: Machine Learning
HarvardX,Data Science: Probability
HarvardX,Data Science: Inference and Modeling
HarvardX,Data Science: Productivity Tools
HarvardX,CS50's Introduction to Computer Science
HarvardX,CS50's Introduction to Artificial Intelligence with Python
HarvardX,Introduction to Linear Models and Matrix Algebra
MITx,Calculus 1B: Integration
MITx,Calculus 1A: Differentiation
Davidson College (North Carolina),Calculus: Challenging Concepts from Calculus AB & Calculus BC
,Introduction to HTML
,Build a Python GUI with Tkinter
,Neural Network Visualizer Web App with Python
,Cleaning and Exploring Big Data using PySpark
,Visualizing Citibike Trips with Tableau
,Getting Started with Power BI Desktop
,Build a Machine Learning Web App with Streamlit and Python
,Building Machine Learning Pipelines in PySpark MLlib
,Practical Introduction to the Command Line
,Statistical Data Visualization with Seaborn
,Create Interactive Dashboards with Streamlit and Python
,Data Visualization with Plotly Express
,Principal Component Analysis with NumPy
,Hierarchical Clustering: Customer Segmentation
,Logistic Regression with NumPy and Python
,Predicting House Prices with Regression using TensorFlow
,Build a Data Science Web App with Streamlit and Python
,Predict Sales Revenue with scikit-learn
,Exploratory Data Analysis with Seaborn
,Getting Started in Google Analytics
,COVID19 Data Analysis Using Python
,Python for Data Science Essential Training Part 2
,Statistics Foundations: 2
,Statistics Foundations: 1
,Python for Data Science Essential Training Part 1
,Python Essential Training
,SQL Essential Training
,Essential Math for Machine Learning: Python Edition
,Learning Python
,IBM
,Stanford
,Harvardx
,UCDavis
,MITx
,Scikitlearn
,Scikitlearn
,Scikitlearn
,pandas
,pandas
,pandas
,randomforest
,randomforest
,randomforest
,plotly
,plotly
,plotly
,Introduction to Relational Databases in SQL
,Introduction to Python
,Data Manipulation with pandas
,Introduction to SQL Server
,Object-Oriented Programming in Python
,Data Analysis in Spreadsheets
,Machine Learning with Tree-Based Models in Python
